,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Population,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subject: Marital Status, Marriages and Divorces",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topic: Marital Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Singapore Residents Aged 20 Years & Over By Sex, Age Group And Marital Status, Annual",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 30/06/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Number
  Married,211200,216300,202700,190600,196900,181000,166400,166600,164400,158400,150400,148400,128800,123500,115600,105600,107000,94000,87900,84600,76200,75500,76700,73700,65800,64900,60000,58700,55400,51100,54600,46600,47500,42200,41100,38700,38800,34300,33500,33400,32600,32200,28800,26000
  Widowed,30700,24500,25500,28300,29100,30800,28300,30900,35000,33800,33800,30400,31200,29400,27500,31100,29700,31900,30600,30100,28300,34100,35700,32000,34300,30100,37200,32000,32500,33700,32100,35100,31900,33300,29800,30500,30000,28500,26600,26000,24300,22600,25100,25100
  Divorced/Separated,23800,21600,23100,22200,19400,20900,20600,17900,16600,14700,14500,14600,13000,12000,11500,9000,8300,7900,7400,6100,5000,5200,4800,3800,4000,3400,2500,2200,1500,1700,2000,1800,1700,1700,1900,1000,1700,1300,1200,800,900,800,400,700
Total Aged 70 Years & Over,540600,508600,450000,418700,380400,389600,353700,334800,335400,293900,281300,291700,267000,256700,249300,230500,227500,206600,205700,202300,180800,177700,175900,163000,155100,143700,143600,140400,126700,125800,121200,110900,108400,103400,102100,104300,89100,81600,83000,84300,79100,77800,72200,63500
  Single,33500,33200,25000,27400,27500,22200,18900,18100,15800,13000,12800,13600,11500,11200,9800,9300,7900,7100,6800,6900,5600,6500,5800,5500,5000,3900,4600,4200,3400,2900,3700,3800,3400,3100,2900,4600,2800,2300,2300,3300,2900,2900,2700,3300
  Married,340400,324600,289100,257200,236100,228300,211500,196700,192700,165100,149700,167200,150900,141700,133700,120400,123600,108800,103700,104000,95600,85300,84100,76800,70700,72700,65800,69600,61800,58300,57100,50500,52000,47100,46500,46600,41100,39300,39400,40100,39700,39600,33700,27000
  Widowed,143700,132500,116600,113200,103000,124400,110400,109500,116500,106900,108300,102400,97500,96200,99200,95200,91100,86000,90900,86700,76300,82500,82800,78500,77100,65300,71300,64500,60300,63000,59300,55000,51900,52100,51300,52400,44500,39400,40600,40200,35900,34900,35700,32800
  Divorced/Separated,23100,18300,19400,21000,13800,14700,12900,10500,10400,8900,10500,8500,7100,7700,6600,5600,4900,4700,4300,4700,3300,3400,3300,2200,2300,1900,1900,2000,1300,1700,1200,1600,1200,1000,1400,700,800,600,800,600,600,500,200,500
Males Aged 70 Years & Over,244200,228900,199700,186900,171200,170500,154000,143400,146300,123800,120100,126300,114500,110900,106200,97200,98300,89300,85400,86000,75800,73400,75100,69200,63900,60500,62800,59800,52600,54300,51400,48000,49300,44000,43100,44500,37800,35700,35200,36100,35200,32900,31200,27100
  Single,10300,10800,7700,9400,9900,8600,6800,6400,5900,5300,5000,5300,4800,4400,4300,4500,3300,3500,3100,3000,2800,3300,3000,2500,1700,2000,2200,2200,1700,1700,2000,2000,1700,1200,1200,2100,1000,800,1100,1300,1100,1000,900,1300
  Married,197400,180500,162300,152300,137700,135800,123100,115900,116500,98600,93800,101500,91800,86700,83300,75800,77100,70000,65500,67100,59200,56000,56100,52000,48200,46500,46200,44700,39500,40200,38700,35400,36500,32000,32000,30800,28000,27200,26800,27600,26800,25800,23400,19100
  Widowed,28400,31400,22000,17400,18300,20800,19500,17900,20300,16700,18000,16500,15500,16900,16400,14800,16200,14100,15200,14300,12400,12900,14900,13700,13000,11200,13600,11900,10800,11500,10200,10100,10500,10200,9300,11300,8500,7500,7000,6800,7100,5900,6700,6400
  Divorced/Separated,8100,6100,7800,7800,5300,5300,4600,3200,3600,3200,3400,2900,2400,2900,2300,2100,1700,1700,1600,1500,1500,1200,1100,1000,1100,700,900,1000,600,800,500,500,600,600,600,300,300,300,300,300,300,300,100,300
Females Aged 70 Years & Over,296400,279800,250300,231800,209200,219100,199800,191400,189200,170100,161200,165400,152500,145800,143100,133300,129200,117300,120300,116400,105000,104300,100800,93800,91200,83200,80800,80600,74100,71600,69800,63000,59200,59300,59100,59800,51400,45900,47800,48200,43900,44900,41100,36500
  Single,23200,22400,17300,18000,17500,13600,12100,11700,9900,7700,7800,8300,6700,6800,5500,4800,4600,3600,3600,3900,2700,3200,2800,2900,3300,1900,2400,2000,1700,1100,1700,1800,1700,1900,1800,2600,1800,1500,1200,2000,1800,1900,1800,2000
  Married,142900,144100,126800,104900,98400,92500,88400,80800,76200,66500,55900,65700,59100,54900,50400,44600,46500,38800,38200,36900,36500,29300,28000,24800,22500,26100,19700,24900,22300,18000,18400,15200,15500,15200,14500,15800,13100,12100,12600,12500,13000,13800,10300,7900
  Widowed,115300,101100,94500,95800,84700,103600,91000,91700,96300,90200,90300,85800,82000,79300,82800,80400,74900,71900,75700,72400,64000,69600,67900,64800,64100,54100,57700,52600,49400,51500,49000,44900,41400,41900,42100,41100,36000,31900,33600,33500,28800,29000,28900,26400
  Divorced/Separated,15000,12100,11600,13100,8500,9400,8200,7200,6800,5700,7100,5600,4700,4800,4300,3500,3200,2900,2800,3200,1800,2200,2200,1200,1300,1100,1000,1000,700,900,600,1000,600,500,700,400,500,300,500,300,300,200,0,200
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definitions and Footnotes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data for 1980, 1990, 2000, 2010 and 2020 are based on the Census of Population while data for 1995, 2005, 2015 and 2025 are based on the General Household Survey.  Data for all other years are based on the Comprehensive June Labour Force Survey.  Survey estimates are subject to sampling variability.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marital Status:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Marital status refers to a person's conjugal status in relation to the marriage laws or customs in Singapore. Single: This refers to persons who have never been married. Married: This refers to persons who are legally married or married according to customary rites. Widowed: This refers to persons whose spouses are deceased and have not remarried. Divorced/Separated: This refers to persons whose marriages have been legally dissolved, or persons who have been legally separated or estranged from their spouses and who have not remarried.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Singapore Residents:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Singapore residents comprises Singapore citizens and permanent residents. The latter group refers to non-citizens who have been granted permanent residence in Singapore.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notation:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
na   not available or not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nec  not elsewhere classified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nes  not elsewhere specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 -     nil or negligible or not significant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Numbers may not add up to the totals due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data are the latest available at the time of access or download. Some statistics, particularly those for the most recent time periods, are provisional and may be subject to revision at a later date.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Values are shown in Singapore dollars (unless otherwise specified).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated by: SingStat Table Builder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date generated: 22/07/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contact: info@singstat.gov.sg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
